Datetime,Tweet Id,Text,Username
2022-12-31 21:53:04+00:00,1609306672048263168,The Art of War by Sun Tzu  The Definitive English Translation  Complete Text With Explanatory Notes for Better Understanding FUSPQTF      W9C3ynicEA     6C3IaHh4q9,armstrong37khcg
2022-12-31 21:50:52+00:00,1609306118362128389, JennaEllisEsq Left Behind   Tim Lahaye  Jerry B Jenkins   Art of War  Sun Tzu  The Memo   By Rich Higgins   sorry 3 best reads ,Ghost19764
2022-12-31 21:48:54+00:00,1609305620909330433, lexfridman The art of war  ,freesiaLDN
2022-12-31 21:45:52+00:00,1609304858644865024, lexfridman  Art of war  is about 100 pages  maybe add  The Prince  by Machiavelli to that week  But better yet just read  On Grand Strategy  by Gaddis  instead ,markuzea
2022-12-31 21:44:20+00:00,1609304472403976193, lexfridman Great list  Metamorphosis  Old man and the sea  brothers Karamazov  The art of war  The little Prince    They are great read  When you are done with The stranger by Camus  try The Meursault Investigation by Kamel Daoud it wil complete your hunger from The stranger,Ammon1106
2022-12-31 21:42:16+00:00,1609303954952982528, lexfridman The art of war in a week  that one is THICK reading,KittyPlays
2022-12-31 21:41:56+00:00,1609303870085255171,The stranger is very nice  Meditations should be read slowly and can be read in parallel with other books  Same applies to art of war  Siddhartha can be read in one shot but then reread slowly  Brothers karamasov will take some time   There is a downside though to deadlines      6ZBompWEhi,zatara15
2022-12-31 21:41:19+00:00,1609303712756895745,Nah i don t think Toriyama was giving us deep themes  most of the Arcs at least  but he made up 80  of DB on the fly and that s beyond genius  that s a 4d chess mastermind art of war shit     e8qltJjHyw,JFZCA_
2022-12-31 21:40:32+00:00,1609303517839216641, Jones  Trader Send me the art of war,blueturtle7588
2022-12-31 21:39:02+00:00,1609303138741239814, lexfridman the art of war a timeless classic,bluepenguin285
2022-12-31 21:34:49+00:00,1609302076944687105, lexfridman Other than on the road  sapiens  art of war  and meditations   ,nycitysopretty
2022-12-31 21:32:28+00:00,1609301488664301571, lexfridman The Art of War is a good read  and I don t like reading,cryptaveli
2022-12-31 20:48:34+00:00,1609290440825778176, MoneyTradeEdge If you know the enemy and know yourself  you need not fear the result of a hundred battles     art of war   Know your self alone doesn t mean shit,xrpclown
2022-12-31 20:48:33+00:00,1609290432898371584, HisDudenesslol The Art of War You can apply it to regular life and business almost exactly  I d argue it s the 2nd most important book I ve ever read,VadForVendetta
2022-12-31 20:48:30+00:00,1609290423620493314,The Art of War and Tao Te Ching  Two Classics Combo QGCIY22      GEPhAISIbX     GcBRz9CXpK,hoeger16nrtz
2022-12-31 20:43:44+00:00,1609289222606692352, coupusa  EndWokeness This might seem counter intuitive  but The Art of War isn t strictly about war ,Drawnder
2022-12-31 20:42:47+00:00,1609288985154658305,The Art of War  Penguin Great Ideas  WWHHDOD      CutlYj1NsF     j1wzEPQS2S,RHarriszlp
2022-12-31 20:41:48+00:00,1609288734398205955, TruthMCanada  PierrePoilievre He s playing the Art of War  Read it,TheeWhiteStripe
2022-12-31 20:22:00+00:00,1609283754710732801,El arte de la guerra  The Art of War   Spanish Edition  ZKC6FHK      A7o9QGBJkq     rEcFTz7kqO,schiller13apv
2022-12-31 20:14:57+00:00,1609281981191446528, brokenpixelua I am   at number of my fellow citizens who are complacent about how bad our own intel was re    hollowness because  of course they lie to keep the budgeming  and when I say even to themselves  are just        apparently no one here reads the Art of War or has common sense ,jaimi85012502
2022-12-31 20:08:34+00:00,1609280371350450176,Always knew  Mercenary will merc  naive citizens will be who they are   DivideAndConquer is still a viable strategy in the art of war  Politics is war of a sort   VoteWisely     OiAjUPtKS7,TIRIMS
2022-12-31 19:57:43+00:00,1609277643039408131, DanielleMejiaCA Read Sun Tzu  The Art of War    The Chinese way of war is to conquer the enemy intact if possible   They buy farmland to control it s output  food  and also near military bases to listen in on classified comms ,ShellaqueJacque
2022-12-31 19:56:11+00:00,1609277256525815809, AloisIrlmaier  Bitcoin  007 Her music video released in 2019  she and her dancers wear red face masks and as she reads the Art of War they are giving weapons to kill Amalek including its domesticated animals  They are depicted bludgeoning Edom s residents and killing their dogs  How nice ,QuincyS16831534
2022-12-31 19:51:44+00:00,1609276138324430851, ryangerritsen Sounds like the Art of War  ,TheeWhiteStripe
2022-12-31 19:51:41+00:00,1609276124206350336, thoushallkill that child reads sun tzu s the art of war like its their job and let me tell you they go to work with No days off,minimii__
2022-12-31 19:51:07+00:00,1609275979653959682,your titties are longer than the art of war   that s a book i ve never read,jasonjasonsons
2022-12-31 19:48:41+00:00,1609275368145289219, PurpleM8n Its the art of war its as old as time  divide and conquer the oldest military strategy otherwise known as the oldest trick in the book,Teh_Husky
2022-12-31 19:47:56+00:00,1609275179322023938,Everybody talks about reading the Art of War  But nobody reads Wang Huning s America Against America      zRsll8p0P4,JohnsonThought1
2022-12-31 19:44:13+00:00,1609274245145583617, MLSAC KAU                      2023                                  The Art Of War    The Science of Selling    HBR S 10 Must Reads On Strategy    Harvard Business Review Manager s Handbook ,Aboodty00
2022-12-31 19:42:05+00:00,1609273709868769282, fomocapdao Ever life is the Art of War    Don t need to read it,burn_trx
